Description,Hours,Date,Client,Project
"Time blocking",0.25,2023-11-02,,
"Time blocking cleanup",1.25,2023-11-02,,
Bathroom,0.08,2023-11-02,,
"Prep invoices through today Billing",0.5,2023-11-02,KRISHNAHAWK,Billing
"Inbox Zero",0.17,2023-11-02,,"Inbox Zero"
"Peter Gabriel re-edit for Winter Solstice 2023",0.33,2023-11-02,"Sanctuary Of The Open Heart","Winter Solstice 2023"
"Slack checkin for",0.25,2023-11-02,Prodigies,
"Archetypal Resonance Quiz integration for",0.25,2023-11-02,"Sanctuary Of The Open Heart","Archetypal Resonance Quiz"
"Write fresh webhook handlers for Stripe and IPN handlers for PayPal",0.33,2023-11-02,"Sanctuary Of The Open Heart",
"Constant Contact code update for",0.5,2023-11-02,"Sanctuary Of The Open Heart",
"Sheet Music Tool button colors and quick fixes",0.5,2023-11-02,Prodigies,"Sheet Music Tool"
"Formidable login form fix",0.33,2023-11-02,"Sanctuary Of The Open Heart",
"13 Moon Oracle Hype layout recreation",1,2023-11-02,"Sanctuary Of The Open Heart","13 Moon Oracle"
"NaNoWriMo dash",0.5,2023-11-02,,
"Process 2023-10-31 meeting tasks Holographic Goddess",0.17,2023-11-02,"Ariel Spilsbury","Holographic Goddess"
"Sheet Music Tool ACF field updates",0.5,2023-11-02,Prodigies,"Sheet Music Tool"
"Gridpane Migration from Siteground (untetheredcircle.com, mermaiddreamssanctuary.com, konamermaidschool.com, alyhawk.com)",0.5,2023-11-02,KRISHNAHAWK,"Gridpane Migration"
"Peanut Butter Crackers for Phoenix",0.17,2023-11-02,,
"Replacing temple map on Holographic Goddess",0.17,2023-11-02,"Ariel Spilsbury","Holographic Goddess"
"Find Ariel's writings from around the web and add to blog Holographic Goddess",0.42,2023-11-02,"Ariel Spilsbury","Holographic Goddess"
"Online oracle tool on Oracle sales page for try before you buy Holographic Goddess",0.17,2023-11-02,"Ariel Spilsbury","Holographic Goddess"
"600-word marketing plan for Holographic Goddess",0.25,2023-11-02,"Ariel Spilsbury","Holographic Goddess"
"Laracasts Course Learning",0.25,2023-11-02,,Learning
"Continue filling up my voicemail",0.33,2023-11-02,,
"Add emoji library adding functionality to Timeblox",0.17,2023-11-02,KRISHNAHAWK,Timeblox
"Entering Pokemon codes",0.17,2023-11-02,,
"One lesson of Laravel course",0.5,2023-11-02,,
"Quickbooks receipt processing Bookkeeping",0.17,2023-11-02,KRISHNAHAWK,Bookkeeping
"Replying to Email from Argon",0.5,2023-10-11,"Sanctuary Of The Open Heart",
Bathroom,0.17,2023-10-11,,
"Helping Phoenix with nintendo",0.08,2023-10-11,,
"Meeting Prep for",0.17,2023-10-11,"Sanctuary Of The Open Heart",Meeting
"Creating filestructure for Billing Portal",0.17,2023-10-11,"Sanctuary Of The Open Heart","Billing Portal"
"Making sure ABS membership is set up correctly and listed in ABS directory",0.5,2023-10-11,"Sanctuary Of The Open Heart",
"Answering Argon's questions via Email",0.17,2023-10-11,"Sanctuary Of The Open Heart",
"Welcome email for Silvie",0.17,2023-10-11,"Sanctuary Of The Open Heart",
"Meeting with Argon",1.33,2023-10-11,"Sanctuary Of The Open Heart",Meeting
"Fix ABS membership link",0.08,2023-10-11,"Sanctuary Of The Open Heart",
"Function coding dash for generic Billing Portal app",4,2023-10-11,KRISHNAHAWK,"Billing Portal"
"Interface coding dash for generic Billing Portal app",1.5,2023-10-11,KRISHNAHAWK,"Billing Portal"
"Time blocking",0.25,2023-10-12,,
"Sending A Dolphin Named Destiny Book Dropbox files to",0.42,2023-10-12,"Heather Reynolds","A Dolphin Named Destiny Book"
"First Adderall",0.03,2023-10-09,,
"Planning day",0.67,2023-10-09,,
"Transferring tasks into Taskblox",0.58,2023-10-09,KRISHNAHAWK,Taskblox
Chai,0.08,2023-10-09,,
Laundry,0.08,2023-10-09,,
"Talking to Aly and Phoenix",0.5,2023-10-09,,
"Email processing",0.25,2023-10-09,,
"Email Responding",0.25,2023-10-09,,
"Slack check in",0.17,2023-10-09,Prodigies,
Laundry,0.08,2023-10-09,,
"Paying credit card bill",0.08,2023-10-09,,
"Set up SSL on siteground for Mermaid Tales Press",0.08,2023-10-09,"Heather Reynolds","Mermaid Tales Press"
"Clone starter page to Mermaid Tales Press domain",0.5,2023-10-09,"Heather Reynolds","Mermaid Tales Press"
"Writing internal API for site management",0.75,2023-10-09,KRISHNAHAWK,
"Text message responding",0.25,2023-10-09,,
"Second Adderall",0.03,2023-10-09,,
Smoothie,0.08,2023-10-09,,
"Diagnose customer issue purchasing 13 Moon Oracle Course on Holographic Goddess, email solution to",0.5,2023-10-09,"Ariel Spilsbury","Holographic Goddess"
"Aligned Business Sponsorship ajaxify ABS signup form",2.42,2023-10-09,"Sanctuary Of The Open Heart","Aligned Business Sponsorship"
"Getting groceries out of the car",0.22,2023-10-09,,
"Aligned Business Sponsorship ajaxify ABS signup form (continued)",1.13,2023-10-09,"Sanctuary Of The Open Heart","Aligned Business Sponsorship"
"Reply to Silvie's support email",0.17,2023-10-09,"Sanctuary Of The Open Heart",
"Change out logo and colors on default WP login page in case a visitor stumbles upon it",0.75,2023-10-09,"Sanctuary Of The Open Heart",
"Fix Aligned Business Sponsorship signup form mobile layout",0.17,2023-10-09,"Sanctuary Of The Open Heart","Aligned Business Sponsorship"
"P7 download script to mask URL",2,2023-10-09,Prodigies,P7
"Time blocking",0.25,2023-10-27,,
"Find new uptime monitor to replace Fathom",0.33,2023-10-27,KRISHNAHAWK,
"Research making my own uptime monitor script",0.17,2023-10-27,KRISHNAHAWK,
"Make Peanut Butter Crackers for Phoenix",0.08,2023-10-27,,
"Make Phoenix's lunch",0.42,2023-10-27,,
"Washing dishes",0.33,2023-10-27,,
"Slack checkin",0.25,2023-10-27,Prodigies,
"Embed Mythic Call video on website",0.17,2023-10-27,"Sanctuary Of The Open Heart",
"Update video embed script to show YouTube embed if no Vimeo ID entered",0.58,2023-10-27,"Sanctuary Of The Open Heart",
"Embed Mythic Call video on website continued",0.33,2023-10-27,"Sanctuary Of The Open Heart",
"Adding Living Library category to website and adding Mythic Call video",0.42,2023-10-27,"Sanctuary Of The Open Heart",
"Email update to Argon and Ariel for Mythic Call appeal status and website update",0.17,2023-10-27,"Sanctuary Of The Open Heart",
"Upgrading Keyboard Maestro",0.17,2023-10-27,,
"Pokemon Go Break",0.17,2023-10-27,,
"Set up Focalizer form email notifications",0.08,2023-10-27,"Sanctuary Of The Open Heart",
"Inbox Zero",0.08,2023-10-27,,"Inbox Zero"
"Fixing permalink issue for thank-you-pages on P7",0.33,2023-10-27,Prodigies,P7
"Review Slack feedback and notes for Sheet Music Tool",0.17,2023-10-27,Prodigies,"Sheet Music Tool"
"Sheet Music Tool development",6,2023-10-27,Prodigies,"Sheet Music Tool"
"Inbox Zero",0.08,2023-10-27,,"Inbox Zero"
"Time blocking",0.33,2023-10-20,,
Billing,0.83,2023-10-20,KRISHNAHAWK,Billing
"Creating internal link shortener tool",0.33,2023-10-20,KRISHNAHAWK,
"Finish Billing",0.5,2023-10-20,KRISHNAHAWK,Billing
"Airtable automation checking for",0.17,2023-10-20,"Heather Reynolds Law",
"Grid fix for internal Billing Portal",0.25,2023-10-20,KRISHNAHAWK,"Billing Portal"
"Shower and get ready",0.17,2023-10-20,,
"Driving to parent teacher conference",0.33,2023-10-20,,
"Parent teacher conference",1.17,2023-10-20,,
"Driving home from parent teacher conference and foodland",0.5,2023-10-20,,
"Time blocking regroup",0.08,2023-10-20,,
"Process tasks inboxes",0.17,2023-10-20,,
"Look over tasks and regroup",0.25,2023-10-20,"Heather Reynolds",
"Prep Agenda for #Meeting with",0.33,2023-10-20,"Heather Reynolds",Agenda
"Sending source files to Designer A Dolphin Named Destiny",0.17,2023-10-20,"Mermaid Tales Press","A Dolphin Named Destiny"
"Logo design for A Dolphin Named Destiny",0.33,2023-10-20,"Mermaid Tales Press","A Dolphin Named Destiny"
"Lifting weights",0.25,2023-10-20,,
"Preliminary shell build for A Dolphin Named Destiny website",1.25,2023-10-20,"Mermaid Tales Press","A Dolphin Named Destiny"
"Glove hunt for Aly",0.17,2023-10-20,,
"Research Amazon KDP prices A Dolphin Named Destiny",0.25,2023-10-20,"Mermaid Tales Press","A Dolphin Named Destiny"
"Moving outside for meeting",0.17,2023-10-20,,
"Meeting with",2.08,2023-10-20,"Heather Reynolds",
"Make the JS payment form work with Stripe on Billing Portal",0.5,2023-10-20,KRISHNAHAWK,"Billing Portal"
"Support emails for",0.5,2023-10-20,"Sanctuary Of The Open Heart",
"Time blocking",0.17,2023-10-30,,
"Bathroom break",0.25,2023-10-30,,
"Donation email notifications",1,2023-10-30,"Sanctuary Of The Open Heart",
"PayPal refactor",2,2023-10-30,"Sanctuary Of The Open Heart",
"Making Phoenix peanut butter crackers",0.17,2023-10-30,,
"Making Phoenix's lunch",0.67,2023-10-30,,
"PayPal refactor",6,2023-10-30,"Sanctuary Of The Open Heart",
"Picking up Phoenix from school",0.75,2023-10-30,,
"PayPal refactor",1.5,2023-10-30,"Sanctuary Of The Open Heart",
"Time blocking",0.25,2023-10-16,,
"Email Proccessing",0.58,2023-10-16,,
"Email replies",0.17,2023-10-16,,
"Internal invoice generation tool KRISHNAHAWK",2.42,2023-10-16,,KRISHNAHAWK
"Quote for Winter Solstice 2023",0.58,2023-10-16,KRISHNAHAWK,"Winter Solstice 2023"
Laundry,0.08,2023-10-16,,
"Texting replies",0.17,2023-10-16,,
"Slack checkin",0.17,2023-10-16,Prodigies,
"Pokemon Go break",0.08,2023-10-16,,
"A Dolphin Named Destiny book version check",0.25,2023-10-16,"Mermaid Tales Press","A Dolphin Named Destiny"
"Pokemon Go break",0.17,2023-10-16,,
Laundry,0.08,2023-10-16,,
Smoothie,0.25,2023-10-16,,
"Working on Billing Portal",1,2023-10-16,KRISHNAHAWK,"Billing Portal"
"Lifting weights",0.25,2023-10-16,,
"Billing Portal Stripe API dash",0.5,2023-10-16,KRISHNAHAWK,"Billing Portal"
Yoga,0.25,2023-10-26,,Yoga
"Time blocking",0.25,2023-10-26,,
"See if Scrivener is still available for Aly's NaNoWriMo",0.17,2023-10-26,,
"Peanut butter crackers for Phoenix",0.17,2023-10-26,,
"Finish Phoenix's lunch",0.25,2023-10-26,,
"Brushing teeth",0.08,2023-10-26,,
"Cleaning around the house",0.17,2023-10-26,,
"Resurecting my old NaNoWriMo account",0.08,2023-10-26,,
"Inbox Zero",0.33,2023-10-26,,"Inbox Zero"
"PayPal fix",0.67,2023-10-26,"Sanctuary Of The Open Heart",
"Email to Ariel about PayPal issue",0.5,2023-10-26,"Sanctuary Of The Open Heart",
"Running night of delight lines with Aly",0.17,2023-10-26,,
"Bathroom break",0.17,2023-10-26,,
"Add (R) to website",0.17,2023-10-26,"Phoenix Rising Empowerment Project",
"Fixing strange apostrophe character issues on website",0.17,2023-10-26,"Phoenix Rising Empowerment Project",
"Looking into redirect issues on P7",0.25,2023-10-26,Prodigies,P7
"Visiting with Lisa",0.17,2023-10-26,,
"Apostrophe issues continued",0.17,2023-10-26,"Phoenix Rising Empowerment Project",
"Addition of (R) symbol continued on website",0.25,2023-10-26,"Phoenix Rising Empowerment Project",
"Bathroom break",0.17,2023-10-26,,
laundry,0.08,2023-10-26,,
"Adding tooltips and ""i"" icons to Sheet Music Tool",0.67,2023-10-26,Prodigies,"Sheet Music Tool"
"Talking to WPEngine support about UTF encoding issues on website",0.33,2023-10-26,"Phoenix Rising Empowerment Project",
"Checking into notes used exclusion vs inclusion Sheet Music Tool",1.42,2023-10-26,Prodigies,"Sheet Music Tool"
"Me Time",0.75,2023-10-26,,"Me Time"
"Sheet Music Tool notes used exclusion vs inclusion continued",0.33,2023-10-26,Prodigies,"Sheet Music Tool"
"Slack checkin with Rob about Sheet Music Tool",0.08,2023-10-26,Prodigies,"Sheet Music Tool"
"Email about copyright and cancelling meeting",0.08,2023-10-26,"Heather Reynolds",
Shaving,0.25,2023-10-26,,Shaving
Shower,0.17,2023-10-26,,Shower
"Drive to Waldorf",0.5,2023-10-26,,
"Night of Delight Rehearsal",1.5,2023-10-26,,
"Waiting for Aly to pick me up",0.33,2023-10-26,,
"Driving home",0.33,2023-10-26,,
"Family time",1,2023-10-26,,
"Time blocking",0.17,2023-10-25,,
"Logging Apple Health medication data",0.08,2023-10-25,,
"Replying to Rob in Slack P7",0.25,2023-10-25,Prodigies,P7
"Setting Phoenix up with Pokemon TV and peanut butter crackers",0.17,2023-10-25,,
"Find Slack notes from P7 Sheet Music review and add to Things",0.33,2023-10-25,Prodigies,P7
"Signing up for Laracasts course platform and watching intro video",0.17,2023-10-25,,
"Texting Scarlett about sleep book",0.17,2023-10-25,,
"Fix login form on Billing Portal",0.17,2023-10-25,KRISHNAHAWK,"Billing Portal"
"Finish Stripe subscription cancellation flow Billing Portal",1,2023-10-25,KRISHNAHAWK,"Billing Portal"
"Grab laundry",0.08,2023-10-25,,
"Pokemon Go Break",0.08,2023-10-25,,
"Finish Stripe webhooks for Billing Portal",0.33,2023-10-25,KRISHNAHAWK,"Billing Portal"
"Continuing Billing Portal dash",4,2023-10-25,,"Billing Portal"
"Course and soup learning break with Laracasts",0.25,2023-10-25,,
MeTime,0.25,2023-10-25,,
"Adjusting Billing Portal to prevent subscriptions being created in DB until payment is successful",1.25,2023-10-25,KRISHNAHAWK,"Billing Portal"
Bath,0.58,2023-10-25,,
Smoothie,0.17,2023-10-25,,
"Researching age 33",0.5,2023-10-25,,
"Continuing Billing Portal dash",1.33,2023-10-25,KRISHNAHAWK,"Billing Portal"
"P7 #SheetMusicTool fix",0.17,2023-10-25,Prodigies,P7
"Time blocking",0.42,2023-10-31,,
"Checking if my voicemail still works",0.08,2023-10-31,,
"Bathroom break",0.17,2023-10-31,,
"Looking into alternative hosting for Siteground migration",0.17,2023-10-31,KRISHNAHAWK,
"Dev site core and plugin updates",0.17,2023-10-31,"Holographic Goddess",
"Postmark signup and integration",0.17,2023-10-31,"Holographic Goddess",
"Website shell update (darken background, header replacement, navigation bar more like previous, sidebar?)",0.58,2023-10-31,"Holographic Goddess",
"Holographic Goddess header fix for",0.17,2023-10-31,"Ariel Spilsbury","Holographic Goddess"
"Peanut butter crackers for Phoenix",0.17,2023-10-31,,
Yoga,0.25,2023-10-31,,
"Making Phoenix's lunch",0.58,2023-10-31,,
"Looking at Pokemon with Phoenix",0.25,2023-10-31,,
"Inbox Zero",0.5,2023-10-31,,"Inbox Zero"
"Site shell continued",1.33,2023-10-31,"Holographic Goddess",
"Homepage (donate module, newsletter module, products module, blog module, featured movie, Sanctuary module)",1.5,2023-10-31,"Holographic Goddess",
"PayPal buy button on Oracle, book singles, sessions, etc.",1.17,2023-10-31,"Holographic Goddess",
"Making Spinach Soup and Smoothie",0.33,2023-10-31,,
"Website deboxing",0.33,2023-10-31,"Holographic Goddess",
"Zoom meeting with Ariel",1.83,2023-10-31,"Holographic Goddess",
"Meeting followup notes",0.17,2023-10-31,"Holographic Goddess",
"Visiting with Lisa",0.17,2023-10-31,,
"Downloading Peter Gabriel songs to edit together for Winter Solstice 2023",0.17,2023-10-31,"Sanctuary Of The Open Heart","Winter Solstice 2023"
"Shopify custom API call for lifetime stock into WP P7",1.67,2023-10-31,Prodigies,P7
"Time blocking",0.17,2023-11-01,,
"NaNoWriMo project creation",0.08,2023-11-01,,
"Finish new membership purchase signup flow",3.67,2023-11-01,"Sanctuary Of The Open Heart",
"Meeting prep",0.25,2023-11-01,"Sanctuary Of The Open Heart",
"Meeting with Argon via Zoom",1.3,2023-11-01,"Sanctuary Of The Open Heart",
"Grab laundry",0.08,2023-11-01,,
"NaNoWriMo prep (krishnahawk.com? blogging? ADHD course?)",0.17,2023-11-01,,
"Taking trash out",0.08,2023-11-01,,
"Edit Peter Gabriel songs for Winter Solstice 2023",0.17,2023-11-01,"Sanctuary Of The Open Heart","Winter Solstice 2023"
"Seeing Phoenix's warewolf costume",0.08,2023-11-01,,
"Massaging Aly",0.33,2023-11-01,,
"Edit Peter Gabriel songs for Winter Solstice 2023 continued",0.67,2023-11-01,"Sanctuary Of The Open Heart","Winter Solstice 2023"
"Making spinach soup and smoothie",0.5,2023-11-01,,
"Uscreen redirects issue",1.92,2023-11-01,Prodigies,
"Send Ariel edited audio files for Winter Solstice 2023",0.17,2023-11-01,"Sanctuary Of The Open Heart","Winter Solstice 2023"
"Cleaning dash",0.5,2023-11-01,,
"Convert membership report doc to spreadsheet and send to Argon",0.25,2023-11-01,"Sanctuary Of The Open Heart",
"Refunding PayPal tests",0.08,2023-11-01,"Sanctuary Of The Open Heart",
"Add product ID capability to stock levels shortcode in P7",1.42,2023-11-01,Prodigies,P7
Shower,0.17,2023-11-01,,
"Heating up curry",0.33,2023-11-01,,
"Set up JSON conversion for Timeblox sheets",0.5,2023-11-01,KRISHNAHAWK,Timeblox
"Set up JSON to timesheet conversion for Timeblox",0.5,2023-11-01,KRISHNAHAWK,Timeblox
"Inbox Zero",0.17,2023-10-23,,"Inbox Zero"
"Fix Stripe subscription cancellation on frontend of website",0.67,2023-10-23,"Sanctuary Of The Open Heart",
"Looking into cancelling voicemail inbox",0.33,2023-10-23,,
"Making Peanut Butter Crackers",0.17,2023-10-23,,
"Finishing stripe cancellation fix on website",0.83,2023-10-23,"Sanctuary Of The Open Heart",
"New member email and admin notification manual send",0.42,2023-10-23,"Sanctuary Of The Open Heart",
Laundry,0.08,2023-10-23,,
"Time blocking",0.17,2023-10-23,,
"Redirect manage membership page to login",0.25,2023-10-23,"Sanctuary Of The Open Heart",
"Billing Portal dash",4,2023-10-23,KRISHNAHAWK,"Billing Portal"
"Time blocking",0.22,2023-10-10,,
"Email processing",0.17,2023-10-10,,
"Email replying",0.08,2023-10-10,,
"Chai for Aly",0.08,2023-10-10,,
"Asking Rob if he can watch Phoenix for Sunday class",0.17,2023-10-10,,
"Mermaid Tales Press website page shell",2,2023-10-10,"Heather Reynolds","Mermaid Tales Press"
"Mermaid Tales Press website homepage with 3 buttons (HTGW, ADND, ""Additional Publications"")",5,2023-10-10,"Heather Reynolds","Mermaid Tales Press"
Bath,0.75,2023-10-10,,
"Add poem as post Mermaid Tales Press",0.58,2023-10-10,"Heather Reynolds","Mermaid Tales Press"
"Mermaid Tales Press website single post shell",0.83,2023-10-10,"Heather Reynolds","Mermaid Tales Press"
"Mermaid Tales Press website mobile layout adjustments",0.92,2023-10-10,"Heather Reynolds","Mermaid Tales Press"
"Grabbing cardboard from the car",0.08,2023-10-10,,
laundry,0.08,2023-10-10,,
"Install Clarity and Fathom tracking codes on Mermaid Tales Press website",0.17,2023-10-10,"Heather Reynolds","Mermaid Tales Press"
"Holographic Goddess manual order creation for customer Allesandra",0.33,2023-10-10,"Ariel Spilsbury","Holographic Goddess"
"Sending Allesandra her Holographic Goddess course link and offering any additional support needed",0.17,2023-10-10,"Ariel Spilsbury","Holographic Goddess"
"Processing and replying to Email",0.08,2023-10-10,,Email
"Continue mockups for generic Billing Portal app",0.5,2023-10-10,KRISHNAHAWK,"Billing Portal"
"Brushing teeth with Phoenix",0.08,2023-10-10,,
laundry,0.08,2023-10-10,,
"Grabbing backup stove from downstairs closet",0.08,2023-10-10,,
"Making myself Dinner",0.33,2023-10-10,,
"Finishing mockups for generic Billing Portal app",0.67,2023-10-10,KRISHNAHAWK,"Billing Portal"
"Brainstorm functions needed for generic Billing Portal app",0.75,2023-10-10,KRISHNAHAWK,"Billing Portal"
"Billing Portal subscribe dash",1,2023-10-18,KRISHNAHAWK,"Billing Portal"
"Billing Portal stripe API dash: subscription cancel and change",1,2023-10-18,KRISHNAHAWK,"Billing Portal"
"Billing Portal stripe API dash: payment method update",1,2023-10-18,KRISHNAHAWK,"Billing Portal"
Lifting,0.33,2023-10-18,,
"Slack checkin P7",0.25,2023-10-24,Prodigies,P7
Bathroom,0.08,2023-10-24,,
"Billing Portal regroup",0.5,2023-10-24,KRISHNAHAWK,"Billing Portal"
"Working on filling up voicemail",0.25,2023-10-24,,
"Setting up redirect for P7",0.17,2023-10-24,Prodigies,P7
"Answering email",0.67,2023-10-24,"Sanctuary Of The Open Heart",
"General email",0.17,2023-10-24,,
"Support email",0.5,2023-10-24,"Sanctuary Of The Open Heart",
"Inbox Zero and replying to email",0.75,2023-10-24,,"Inbox Zero"
"Handling Argon's test subscription cancellation and refunds",0.42,2023-10-24,"Sanctuary Of The Open Heart",
"ACF field additions for Sheet Music Tool",0.5,2023-10-24,Prodigies,"Sheet Music Tool"
"Sheet Music Tool grid changes",2.25,2023-10-24,Prodigies,"Sheet Music Tool"
"Updating Rob on changes to Sheet Music Tool",0.33,2023-10-24,Prodigies,"Sheet Music Tool"
Bath,0.5,2023-10-24,,
"Heating up soup, making tea",0.33,2023-10-24,,
"Email responding",0.58,2023-10-06,,
"P7 slack responses with Michael about auth concerns, reenabling security measures to prevent wp-admin viewing for non-admins",0.33,2023-10-06,Prodigies,P7
Laundry,0.08,2023-10-06,,
"P7 sheet music grid permissions and global options pages",1,2023-10-06,Prodigies,P7
Laundry,0.08,2023-10-06,,
"Finishing P7 sheet music grid permissions and global options pages",1,2023-10-06,Prodigies,P7
Laundry,0.08,2023-10-06,,
"Make shave ice",0.17,2023-10-06,,
"Play videogames with Phoenix",1,2023-10-06,,
"Making smoothie",0.17,2023-10-06,,
"Timeblox improvements",1.5,2023-10-06,KRISHNAHAWK,Timeblox
"Email check",0.17,2023-10-06,,
"Finishing P7 sheet music grid permissions and global options pages",0.67,2023-10-06,Prodigies,P7
"Review Clarity for Aligned Business Sponsorship form",0.08,2023-10-06,KRISHNAHAWK,"Aligned Business Sponsorship"
"Aligned Business Sponsorship ABS sponsor form required form removal",0.25,2023-10-06,"Sanctuary Of The Open Heart","Aligned Business Sponsorship"
"Prep for call with Ariel about Winter Solstice 2023 lighting",0.25,2023-10-06,"Sanctuary Of The Open Heart","Winter Solstice 2023"
"Call with Ariel to go over Winter Solstice 2023 lighting",0.5,2023-10-06,"Sanctuary Of The Open Heart","Winter Solstice 2023"
"Notes after call with Ariel about Winter Solstice 2023",0.25,2023-10-06,"Sanctuary Of The Open Heart","Winter Solstice 2023"
"Aligned Business Sponsorship sponsor form required fields removal",0.25,2023-10-06,"Sanctuary Of The Open Heart","Aligned Business Sponsorship"
